,userId,title,rating
0,277427,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,10
1,277427,The Poisonwood Bible: A Novel,0
2,277427,Bel Canto: A Novel,0
3,277427,One for the Money (Stephanie Plum Novels (Paperback)),9
4,277427,The Secret Garden,0
5,277427,The Tao of Pooh,0
6,277427,Girl in Hyacinth Blue,0
7,277427,Chocolat,0
8,277427,The Secret Life of Bees,0
9,277427,Three To Get Deadly : A Stephanie Plum Novel (A Stephanie Plum Novel),0
10,277427,Full Tilt (Janet Evanovich's Full Series),0
11,277427,Lucky : A Memoir,0
12,277427,The Dogs of Babel (Today Show Book Club #12),0
13,277427,White Oleander : A Novel (Oprah's Book Club),0
14,277427,White Oleander : A Novel,0
15,277427,The Jester,0
16,277427,The Lovely Bones: A Novel,0
17,277427,Me Talk Pretty One Day,8
18,277427,Naked,0
19,277427,The Hobbit : The Enchanting Prelude to The Lord of the Rings,0
20,277427,A Prayer for Owen Meany,0
21,277427,Silent Witness,0
22,277427,No Safe Place,0
23,277427,Dark Lady,0
24,277427,The Murder Book,10
25,277427,The Dress Lodger (Ballantine Reader's Circle),0
26,277427,Stanislaski Sisters,0
27,277427,Middlesex: A Novel,0
28,277427,The Dive From Clausen's Pier : A Novel (Vintage Contemporaries (Paperback)),0
29,277427,The Indian in the Cupboard,0
30,277427,Postmortem,0
31,277427,All That Remains (Kay Scarpetta Mysteries (Paperback)),0
32,277427,The Rainmaker,9
33,277427,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",0
34,277427,Into the Wild,9
35,277427,Oryx and Crake,9
36,277427,The Da Vinci Code,8
37,277427,Who Moved My Cheese? An Amazing Way to Deal with Change in Your Work and in Your Life,0
38,277427,Lord of the Flies,9
39,277427,Watchers,0
40,277427,Mortal Fear,0
41,277427,Lightning,0
42,277427,The Cardinal of the Kremlin (Jack Ryan Novels),8
43,277427,Rules of Prey,0
44,277427,Harmful Intent,0
45,277427,Vital Signs,0
46,277427,Mind Prey,0
47,277427,From Potter's Field,0
48,277427,Contagion,0
49,277427,Cause of Death,0
50,277427,Certain Prey,0
51,277427,Black Notice,0
52,277427,Harry Potter and the Chamber of Secrets (Book 2),0
53,277427,Harry Potter and the Prisoner of Azkaban (Book 3),0
54,277427,Harry Potter and the Sorcerer's Stone (Book 1),0
55,277427,Crossings,0
56,277427,The Promise,0
57,277427,Secrets,0
58,277427,Thurston House,5
59,277427,Wanderlust,0
60,277427,Guardian Angel,0
61,277427,Vanished,0
62,277427,The Partner,7
63,277427,The Street Lawyer,0
64,277427,Tell No One,0
65,277427,Gone for Good,9
66,277427,The Summons,0
67,277427,Dune (Remembering Tomorrow),0
68,277427,Presumed Innocent,9
69,277427,The Day After Tomorrow,10
70,277427,Blood Work,0
71,277427,Hide &amp; Seek,0
72,277427,Jack &amp; Jill (Alex Cross Novels),0
73,277427,Unspeakable,0
74,277427,Saving Faith,10
75,277427,Violets Are Blue,0
76,277427,J Is for Judgment,0
77,277427,K Is for Killer (Kinsey Millhone Mysteries (Paperback)),0
78,277427,Misery,0
79,277427,Dolores Claiborne,0
80,277427,24 Hours,10
81,277427,The Virgin Blue,6
82,277427,The Edge,0
83,277427,Heaven and Earth (Three Sisters Island Trilogy),0
84,277427,Hemlock Bay,0
85,277427,The Prince of Tides,0
86,277427,D Is for Deadbeat (Kinsey Millhone Mysteries (Paperback)),0
87,277427,Where the Red Fern Grows,0
88,277427,E Is for Evidence: A Kinsey Millhone Mystery (Kinsey Millhone Mysteries (Paperback)),0
89,277427,B Is for Burglar (Kinsey Millhone Mysteries (Paperback)),0
90,277427,C Is for Corpse (Kinsey Millhone Mysteries (Paperback)),9
91,277427,Doomsday Book,10
92,277427,Long After Midnight,0
93,277427,The Alienist,0
94,277427,One Door Away from Heaven,0
95,277427,Reap the Wind,0
96,277427,By the Light of the Moon,0
97,277427,The Sweet Potato Queens' Book of Love,0
98,277427,Two for the Dough,0
99,277427,Long After Midnight,8
100,277427,A Simple Plan,10
101,277427,The God of Small Things,0
102,277427,Flesh and Blood,0
103,277427,A Year in Provence,9
104,277427,Midnight in the Garden of Good and Evil,0
105,277427,Angela's Ashes (MMP) : A Memoir,0
106,277427,The Sands of Time,0
107,277427,If Only It Were True,8
108,277427,Pay It Forward,9
109,277427,The Kitchen God's Wife,0
110,277427,Saint Maybe,0
111,277427,A Patchwork Planet,0
112,277427,Wild Animus,0
113,277427,Tears of the Giraffe (No.1 Ladies Detective Agency),0
114,277427,The No. 1 Ladies' Detective Agency (Today Show Book Club #8),0
115,277478,Get Shorty,6
116,277478,Feast of All Saints,0
117,277478,The Queen of the Damned (Vampire Chronicles (Paperback)),0
118,277478,While I Was Gone,0
119,277478,Cordina's Crown Jewel,0
120,277478,Night Prey,0
121,277478,Chromosome 6,0
122,277478,Point of Origin,0
123,277478,The Street Lawyer,0
124,277478,The Testament,0
125,277478,The Best Laid Plans,0
126,277478,When the Wind Blows,0
127,277478,A Thousand Acres (Ballantine Reader's Circle),0
128,277478,All Creatures Great and Small,0
129,277478,Ashes to Ashes,0
130,277478,Fear Nothing,0
131,277478,Seize the Night,0
132,277478,She's Come Undone (Oprah's Book Club (Paperback)),0
133,277478,I'll Be Seeing You,0
134,277478,"Artemis Fowl (Artemis Fowl, Book 1)",0
135,277478,The Five People You Meet in Heaven,0
136,277478,All I Really Need to Know,0
137,277478,Wild Animus,0
138,277639,Courting Trouble,0
139,277639,Disclosure,0
